[2020-02-07 03:12:12] ::1 user accessed file C:/Users/M20J301/Desktop/suiviprod.wsdl/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:12:33] ::1 user accessed dir C:/Users/M20J301/Desktop/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:12:52] ::1 user accessed file C:/Users/M20J301/Desktop/A%i.png (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:12:52] ::1 user accessed dir C:/Users/M20J301/Desktop/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:13:05] ::1 user accessed file C:/Users/M20J301/Desktop/desktop.ini (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:13:06] ::1 user accessed file C:/Users/M20J301/Desktop/desktop.ini/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:14:24] ::1 user accessed file C:/Users/M20J301/Desktop/desktop.ini/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:14:26] ::1 user accessed dir C:/Users/M20J301/Desktop/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:14:28] ::1 user accessed file C:/Users/M20J301/Desktop/myOffice.lnk/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:14:41] ::1 user accessed file C:/Users/M20J301/Desktop/myOffice.lnk/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
[2020-02-07 03:14:41] ::1 user accessed file C:/Users/M20J301/Desktop/myOffice.lnk/ (Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36)
